scene,arm,gaussians,psnr,ssim,lpips,train_wall_s,fps_mean,fps_evidence,delta_psnr,delta_ssim,delta_lpips,wall_delta_percent,fps_delta_vs_selected_percent,fps_ci95_percent
truck,selected,207698,25.80791437625885,0.8739033434540033,0.18629798386245966,209.02,405.9347181691781,/home/cute_cat/hab-paper-records/20260803-opacity-per-event-82-v4/paired_fps/formal-paired-fps-v4-mechanisms-r1/ablation_truck.json,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
truck,joint,207698,25.569226443767548,0.8725197743624449,0.18680794443935156,210.43,406.305188856468,/home/cute_cat/hab-paper-records/20260803-opacity-per-event-82-v4/paired_fps/formal-paired-fps-v4-mechanisms-r1/ablation_truck.json,-0.2386879324913025,-0.0013835690915584564,0.0005099605768918991,0.6745765955410876,0.5405629278095372,"[-3.120037623462206, 4.512866689201187]"
truck,score,207698,20.25425273180008,0.723335262387991,0.3854700494557619,168.57,442.82692720457595,/home/cute_cat/hab-paper-records/20260803-opacity-per-event-82-v4/paired_fps/formal-paired-fps-v4-mechanisms-r1/ablation_truck.json,-5.553661644458771,-0.15056808106601238,0.19917206559330225,-19.352215099033586,9.765557094999615,"[5.034263551250888, 14.482929342091415]"
truck,radii,207698,20.394310414791107,0.7259670067578554,0.3868544101715088,185.76,445.77227648322076,/home/cute_cat/hab-paper-records/20260803-opacity-per-event-82-v4/paired_fps/formal-paired-fps-v4-mechanisms-r1/ablation_truck.json,-5.413603961467743,-0.14793633669614792,0.20055642630904913,-11.128121710841077,10.576842704626717,"[5.950468321219143, 15.127537977941845]"
truck,random,207698,25.242689609527588,0.8642174415290356,0.2034478047862649,188.35,424.3549975258559,/home/cute_cat/hab-paper-records/20260803-opacity-per-event-82-v4/paired_fps/formal-paired-fps-v4-mechanisms-r1/ablation_truck.json,-0.5652247667312622,-0.009685901924967766,0.017149820923805237,-9.889005836762044,5.288451880903444,"[0.9518410830046544, 9.549706428944038]"
truck,post,207698,25.736784517765045,0.8738141115754843,0.18566025467589498,214.62,407.5003594285955,/home/cute_cat/hab-paper-records/20260803-opacity-per-event-82-v4/paired_fps/formal-paired-fps-v4-mechanisms-r1/ablation_truck.json,-0.07112985849380493,-8.923187851905823e-05,-0.0006377291865646839,2.679169457468178,0.9975305947191141,"[-3.034782174172481, 4.933565314955867]"
truck,final,207698,25.59876251220703,0.8705559950321913,0.1906918128952384,224.01,405.8187339346881,/home/cute_cat/hab-paper-records/20260803-opacity-per-event-82-v4/paired_fps/formal-paired-fps-v4-mechanisms-r1/ablation_truck.json,-0.20915186405181885,-0.0033473484218120575,0.00439382903277874,7.171562529901432,0.30840157690074804,"[-2.7358511027102828, 3.2788632355519076]"
playroom,selected,150170,30.12344873362574,0.9091149157491224,0.26594344603604286,212.71,416.6806409189426,/home/cute_cat/hab-paper-records/20260803-opacity-per-event-82-v4/paired_fps/formal-paired-fps-v4-mechanisms-r1/ablation_playroom.json,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0]"
playroom,joint,150170,30.392726437798864,0.9095264200506539,0.2663425798046178,190.68,430.2613049223992,/home/cute_cat/hab-paper-records/20260803-opacity-per-event-82-v4/paired_fps/formal-paired-fps-v4-mechanisms-r1/ablation_playroom.json,0.269277704173124,0.00041150430153147344,0.0003991337685749219,-10.356823844671148,3.649620491856112,"[0.6340514049070695, 6.8261242173373775]"
playroom,score,150170,22.42597803576239,0.8520404470377955,0.3408599629484374,180.17,445.44795989080563,/home/cute_cat/hab-paper-records/20260803-opacity-per-event-82-v4/paired_fps/formal-paired-fps-v4-mechanisms-r1/ablation_playroom.json,-7.6974706978633485,-0.05707446871132693,0.07491651691239454,-15.297823327535154,7.539804190331231,"[3.22654719399365, 11.75753991155342]"
playroom,radii,150170,21.37088762480637,0.8372865504231947,0.34702705412075435,168.75,449.91987279335234,/home/cute_cat/hab-paper-records/20260803-opacity-per-event-82-v4/paired_fps/formal-paired-fps-v4-mechanisms-r1/ablation_playroom.json,-8.752561108819368,-0.07182836532592773,0.08108360808471149,-20.6666353250905,8.696662708397254,"[4.1866580490057945, 13.289767598229563]"
playroom,random,150170,30.327907956879713,0.9077730240492985,0.2703873535682415,190.75,405.49373921403253,/home/cute_cat/hab-paper-records/20260803-opacity-per-event-82-v4/paired_fps/formal-paired-fps-v4-mechanisms-r1/ablation_playroom.json,0.20445922325397348,-0.001341891699823905,0.004443907532198643,-10.323915189694887,-1.9244330226782047,"[-6.744231252492267, 2.8968223215054825]"
playroom,post,150170,30.291831312508418,0.9089385147752433,0.2659200630311308,185.86,421.8546073019987,/home/cute_cat/hab-paper-records/20260803-opacity-per-event-82-v4/paired_fps/formal-paired-fps-v4-mechanisms-r1/ablation_playroom.json,0.16838257888267805,-0.00017640097387905396,-2.338300491205869e-05,-12.622819801607822,2.087525497685335,"[-1.831448248270946, 6.287628831750692]"
playroom,final,150170,30.074249333348767,0.9042408754085672,0.268604875124734,204.68,420.20016340944255,/home/cute_cat/hab-paper-records/20260803-opacity-per-event-82-v4/paired_fps/formal-paired-fps-v4-mechanisms-r1/ablation_playroom.json,-0.04919940027697223,-0.0048740403405551636,0.0026614290886911585,-3.7750928494193925,1.4771816141451235,"[-2.7256557040784113, 5.848265536593008]"
