scene,seed,cut_27k_psnr,cut_30k_psnr,fps_evidence,delta_psnr,delta_ssim,delta_lpips,wall_delta_percent,fps_delta_30k_vs_27k_percent,fps_ci95_percent
truck,0,25.59876251220703,23.889028906822205,/home/cute_cat/hab-paper-records/20260803-opacity-per-event-82-v4/paired_fps/formal-paired-fps-v4-mechanisms-r1/recovery_truck_seed0.json,-1.7097336053848267,-0.0247432179749012,0.014720648061484098,4.464086424713187,0.09729283209822531,"[-3.3173020974464134, 3.7568630457462158]"
truck,1,25.54649531841278,23.846156060695648,/home/cute_cat/hab-paper-records/20260803-opacity-per-event-82-v4/paired_fps/formal-paired-fps-v4-mechanisms-r1/recovery_truck_seed1.json,-1.7003392577171326,-0.022780518978834152,0.014636254869401455,5.861751152073724,-1.2854467426007037,"[-3.97880295367381, 1.6395353620302253]"
truck,2,25.611757338047028,23.785375237464905,/home/cute_cat/hab-paper-records/20260803-opacity-per-event-82-v4/paired_fps/formal-paired-fps-v4-mechanisms-r1/recovery_truck_seed2.json,-1.8263821005821228,-0.02302614413201809,0.01455268170684576,-4.774120613939747,-0.07155776888701165,"[-2.7779062450290652, 2.619008975745361]"
playroom,0,30.074249333348767,29.42049059374579,/home/cute_cat/hab-paper-records/20260803-opacity-per-event-82-v4/paired_fps/formal-paired-fps-v4-mechanisms-r1/recovery_playroom_seed0.json,-0.6537587396029778,-0.004759459659971044,0.004980164869078263,10.728942739886648,1.998976569661348,"[-1.9074533497208777, 6.066320675385376]"
