scene,role,seeds,fastgs_gaussians_mean,hab_gaussians,reduction_vs_seed0_percent,delta_psnr_mean,delta_psnr_sd,delta_ssim_mean,delta_lpips_mean,wall_delta_percent_mean,screening_fps_delta_percent_mean,paired_fps_delta_percent_mean
train,confirmation,3,232213.66666666666,189337,18.000077956162652,-0.13259600756461035,0.0835573443595576,-0.003792690080508865,0.0076277201112947834,-6.674999563148909,7.716923968209835,5.0776430138321995
drjohnson,confirmation,3,256159.66666666666,207997,18.00003942362658,-0.03308644920888663,0.07689308942257597,-0.0007112002131914874,0.0026543573899702557,-6.547357611590506,1.4734653086511635,4.310509588349908
garden,confirmation,3,749610.6666666666,606922,18.000024319427578,0.012191375096638998,0.11854694049535763,-0.00491962747441399,0.013503524164358766,-7.206185494417309,10.676396034654022,8.377597842393923
room,confirmation,3,208244.66666666666,170528,18.000403919946915,-0.09688993600698599,0.09418811870544559,-0.002543873766548632,0.006211253440278203,-3.875582276994153,4.528438351956195,5.275668904221128
bicycle,extension,1,538989,441970,18.00018182189247,-0.010180206298826988,0.0,-0.001619145870208727,0.006878429651260398,-5.894445086037647,3.2087158038943464,
counter,extension,1,208314,170817,18.0002304213831,-0.06413129170735843,0.0,-0.002432813247044807,0.005691571036974569,-9.158615136876003,5.328591269737415,
